STAID	STATE	FIPS	LAT_DMS 	 LON_DMS	WELLDPTH  	SAMPDATE 	SAMPTIME	AS_RMRK	AS_CONC	LAT_DD	LON_DD
16S     2S      6N      6S      7S      10N     9S      5S      1S      10N     12N     12N
431744113570001	ID	16013	431744	1135645	192	24-Jul-96	1015	.	3	43.29556	113.94583
334106113564601	AZ	4012	334106	1135646	600	14-Aug-80	1200	.	20	33.685	113.94611
335142113565401	AZ	4012	335142	1135654		18-Jul-79	1200	.	23	33.86167	113.94833
335208113565401	AZ	4012	335208	1135654	500	13-Aug-80	1200	.	17	33.86889	113.94833
431932113571501	ID	16013	431932	1135715	231	25-Sep-95	1130	-	2	43.32556	113.95417
334924113571801	AZ	4012	334924	1135718	750	15-Aug-80	1200	.	37	33.82333	113.955
393501113572701	UT	49023	393501	1135727		07-Feb-84	1530	.	6	39.58361	113.9575
423017113581301	ID	16031	423017	1135813	505	26-Sep-95	945	.	2	42.50473	113.97028
354942113581500	AZ	4015	354942	1135815		09-Jun-93	1618	.	1	35.82833	113.97083
424249113582401	ID	16053	424249	1135824	351	23-Aug-93	1000	.	2	42.71361	113.97334
394117113582601	UT	49023	394117	1135826		09-Feb-84	1100	<	1	39.68806	113.97389
351702113582701	AZ	4015	351702	1135827	1000	21-Aug-82	1500	.	5	35.28389	113.97417
424609113585301	ID	16063	424609	1135853	491	12-Jul-94	1100	.	2	42.76916	113.98139
335234113585601	AZ	4012	335234	1135856	200	13-Aug-80	1200	.	8	33.87611	113.98222
394235113585801	UT	49023	394235	1135858		08-Feb-84	1415	<	1	39.70972	113.98278
424021113590001	ID	16053	424014	1135908	341	03-Aug-93	1525	.	2	42.67056	113.98556
355052113591900	AZ	4015	355052	1135919		11-Jun-93	958	.	2	35.84778	113.98861
351452113592301	AZ	4015	351452	1135923	1050	22-Aug-82	1100	.	4	35.24777	113.98972
354944113592300	AZ	4015	354944	1135923		10-Jun-93	1620	<	1	35.82889	113.98972
422304113595701	ID	16031	422304	1135957	1190	07-Jul-94	1305	.	3	42.38445	113.99917
425058113595801	ID	16063	425058	1135958	486	11-Jul-96	1310	.	2	42.84945	113.99944
353157114000601	AZ	4015	353157	1140006		27-Mar-82	1615	.	3	35.5325	114.00166
354923114001000	AZ	4015	354923	1140010		09-Jun-93	1400	<	1	35.82306	114.00278
335543114001101	AZ	4012	335543	1140011	200	21-Aug-80	1200	.	12	33.92861	114.00305
353444114001201	AZ	4015	353444	1140012		03-Apr-82	1023	.	1	35.57888	114.00333
354924114001200	AZ	4015	354924	1140012		09-Jun-93	1425	<	1	35.82333	114.00333
384818114002801	UT	49027	384818	1140028	415	24-Jul-85	930	.	7	38.805	114.00777
353522114002901	AZ	4015	353522	1140029		03-Apr-82	1252	.	1	35.58945	114.00806
335427114003001	AZ	4012	335427	1140030		21-Aug-80	1200	.	24	33.9075	114.00833
351817114004101	AZ	4015	351817	1140041	1000	01-Sep-82	1500	.	1	35.30472	114.01139
444310114005701	ID	16059	444310	1140057		05-Aug-80	930	.	18	44.71944	114.01583
425141114010901	ID	16063	425141	1140109	344	18-Aug-93	1015	.	2	42.86139	114.01917
421911114013801	ID	16031	421911	1140138	790	25-Jul-96	850	.	2	42.31972	114.02722
444119114022801	ID	16059	444119	1140228	44	27-Jul-93	945	.	5	44.68861	114.04111
444123114023401	ID	16059	444123	1140234	115	27-Sep-95	915	.	2	44.68972	114.04278
422910114024701	ID	16031	422910	1140247	625	11-Jul-94	1445	.	2	42.48611	114.04639
423556114025201	ID	16053	423556	1140252	250	26-Jun-96	1215	.	4	42.59888	114.04778
431810114025901	ID	16013	431810	1140259	180	24-Aug-93	945	.	2	43.30278	114.04972
461635114030201	MT	30081	461635	1140302		07-Sep-95	1600	.	8	46.27639	114.05055
